Subject Name,Characteristics,Lab Subject,Type of Subject,Duration,Requirements,Learning Background,Learning Style,Learning Ability,Teacher Experience,Teaching Pattern,Lab Facility
Heat Transfer,Analytical,No,Elective,50,Theoretical,PG,Visual,Medium,New,Facilitative,Available
Thermodynamics,Design-oriented,Yes,Elective,20,Theoretical,PhD,Concrete,Low,Experienced,Socratic,Available
Computer-Aided Design (CAD),Analytical,No,Elective,50,Theoretical,UG,Sequential,Low,Experienced,Personal Model,Available
Fluid Mechanics,Experimental,Yes,Elective,10,Theoretical,PhD,Field-Dependent,Medium,New,Conservative,Not Available
Computer-Aided Design (CAD),Analytical,No,Core,50,Lab,UG,Reflective,High,Experienced,Group Approach,Available
Engineering Mechanics,Experimental,Yes,Core,50,Lab,PhD,Active,Low,Experienced,Discipline-Centered,Available
Heat Transfer,Analytical,Yes,Elective,10,Lab,UG,Concrete,High,Experienced,Conservative,Not Available
Machine Design,Analytical,No,Elective,50,Theoretical,UG,Abstract,High,Experienced,Judicial,Available
Control Systems,Analytical,Yes,Elective,40,Theoretical,PhD,Concrete,Medium,Intermediate,Problem Solving,Not Available
Fluid Mechanics,Analytical,Yes,Core,10,Theoretical,PhD,Sequential,Medium,Intermediate,Facilitative,Not Available
Heat Transfer,Design-oriented,No,Elective,10,Lab,PG,Reflective,High,Experienced,Teacher-Centered,Not Available
Control Systems,Experimental,No,Core,30,Lab,UG,Field-Independent,Low,Intermediate,Executive,Not Available
Control Systems,Design-oriented,Yes,Core,20,Lab,PG,Visual,High,New,Conservative,Not Available
Thermodynamics,Experimental,Yes,Core,10,Lab,PG,Field-Dependent,High,New,Judicial,Available
Manufacturing Processes,Design-oriented,No,Core,10,Theoretical,PG,Sequential,Medium,Experienced,Conservative,Not Available
Machine Design,Experimental,Yes,Core,10,Lab,UG,Sequential,High,New,Legislative,Not Available
Fluid Mechanics,Design-oriented,No,Core,50,Lab,PG,Intuitive,Medium,Intermediate,Global,Not Available
Manufacturing Processes,Experimental,Yes,Elective,50,Theoretical,PG,Global,High,Experienced,Teacher-Centered,Not Available
Fluid Mechanics,Experimental,Yes,Elective,30,Lab,UG,Impulsive,Low,Experienced,Indirect Teaching,Available
Machine Design,Experimental,Yes,Elective,50,Theoretical,PG,Concrete,High,Intermediate,Didactic,Not Available
Mechanics of Materials,Analytical,Yes,Elective,30,Theoretical,PhD,Active,Medium,Experienced,Formal Authority,Not Available
Computer-Aided Design (CAD),Experimental,No,Core,40,Lab,PG,Visual,High,Intermediate,Conservative,Available
Thermodynamics,Design-oriented,No,Core,10,Lab,UG,Intuitive,High,New,Local,Not Available
Machine Design,Analytical,Yes,Core,40,Lab,UG,Active,High,Intermediate,Personal Model,Available
Heat Transfer,Analytical,Yes,Core,50,Theoretical,PG,Global,High,Experienced,Expert,Available
Manufacturing Processes,Experimental,No,Core,30,Lab,UG,Abstract,Low,New,Discipline-Centered,Available
Thermodynamics,Analytical,Yes,Core,50,Theoretical,UG,Concrete,Medium,Experienced,Conservative,Not Available
Thermodynamics,Design-oriented,Yes,Core,10,Lab,UG,Impulsive,Low,Intermediate,Liberal,Not Available
Engineering Mechanics,Design-oriented,Yes,Core,40,Theoretical,PG,Global,Low,Intermediate,Indirect Teaching,Not Available
Engineering Mechanics,Experimental,No,Core,50,Theoretical,PG,Field-Independent,High,New,Group Approach,Not Available
Heat Transfer,Design-oriented,Yes,Core,10,Theoretical,UG,Auditory,Medium,New,Liberal,Available
Heat Transfer,Analytical,Yes,Core,30,Theoretical,UG,Kinesthetic,High,Experienced,Facilitator,Not Available
Engineering Mechanics,Design-oriented,Yes,Elective,50,Theoretical,PhD,Visual,Low,Intermediate,Student-Centered,Not Available
Fluid Mechanics,Analytical,Yes,Elective,40,Lab,PG,Sequential,High,Experienced,Global,Not Available
Computer-Aided Design (CAD),Analytical,Yes,Elective,50,Theoretical,PG,Visual,High,Experienced,Conservative,Not Available
Engineering Mechanics,Experimental,No,Elective,50,Theoretical,PG,Intuitive,High,New,Personal Model,Available
Heat Transfer,Analytical,Yes,Core,50,Lab,UG,Visual,Medium,New,Personal Model,Available
Fluid Mechanics,Design-oriented,Yes,Core,30,Theoretical,PG,Tactile,Low,Experienced,Legislative,Not Available
Machine Design,Analytical,No,Elective,40,Theoretical,PhD,Reflective,High,Intermediate,Formal Authority,Available
Computer-Aided Design (CAD),Analytical,No,Elective,10,Lab,PhD,Intuitive,Low,New,Liberal,Available
Computer-Aided Design (CAD),Design-oriented,No,Elective,30,Theoretical,PG,Concrete,Low,Experienced,Personal Model,Not Available
Fluid Mechanics,Design-oriented,No,Core,20,Theoretical,PhD,Intuitive,Medium,Experienced,Direct Teaching,Available
Machine Design,Design-oriented,Yes,Core,40,Theoretical,PG,Impulsive,Low,Intermediate,Discipline-Centered,Not Available
Manufacturing Processes,Experimental,No,Core,20,Theoretical,PhD,Tactile,High,New,Student-Centered,Available
Heat Transfer,Experimental,No,Core,50,Lab,PG,Concrete,High,New,Facilitator,Not Available
Machine Design,Design-oriented,No,Core,10,Lab,PG,Active,Low,Intermediate,Teacher-Centered,Not Available
Manufacturing Processes,Experimental,Yes,Elective,10,Theoretical,PG,Global,High,New,Peer Teaching,Not Available
Machine Design,Experimental,Yes,Elective,30,Theoretical,PhD,Concrete,Low,New,Direct Teaching,Available
Engineering Mechanics,Experimental,Yes,Core,30,Lab,PhD,Auditory,Medium,Experienced,Discipline-Centered,Available
Fluid Mechanics,Analytical,No,Core,10,Lab,UG,Tactile,Low,New,Conservative,Available
Control Systems,Analytical,No,Elective,40,Lab,UG,Impulsive,Medium,Experienced,Didactic,Available
Mechatronics,Design-oriented,No,Elective,30,Lab,PhD,Visual,Low,Experienced,Conservative,Available
Engineering Mechanics,Analytical,No,Elective,30,Lab,PG,Concrete,Low,New,Didactic,Not Available
Thermodynamics,Design-oriented,No,Elective,40,Theoretical,PG,Field-Dependent,High,Experienced,Discipline-Centered,Not Available
Fluid Mechanics,Experimental,No,Core,10,Lab,PG,Field-Dependent,Medium,Intermediate,Didactic,Available
Heat Transfer,Analytical,Yes,Elective,40,Theoretical,PhD,Auditory,Medium,Intermediate,Delegator,Not Available
Thermodynamics,Analytical,No,Elective,20,Theoretical,PhD,Visual,High,Intermediate,Legislative,Available
Thermodynamics,Experimental,Yes,Core,30,Theoretical,PhD,Impulsive,Medium,Intermediate,Facilitator,Not Available
Engineering Mechanics,Design-oriented,No,Core,30,Theoretical,PG,Field-Dependent,High,Intermediate,Delegator,Not Available
Heat Transfer,Analytical,Yes,Core,50,Theoretical,PG,Sequential,Low,Intermediate,Legislative,Not Available
Machine Design,Experimental,No,Elective,20,Lab,UG,Field-Independent,Medium,New,Indirect Teaching,Not Available
Heat Transfer,Design-oriented,No,Elective,40,Lab,UG,Concrete,High,Intermediate,Teacher-Centered,Not Available
Heat Transfer,Experimental,No,Elective,10,Theoretical,PG,Kinesthetic,Medium,Experienced,Peer Teaching,Available
Heat Transfer,Design-oriented,No,Elective,40,Lab,PhD,Auditory,High,Intermediate,Student-Centered,Not Available
Machine Design,Analytical,No,Elective,30,Theoretical,PhD,Intuitive,High,New,Discipline-Centered,Available
Mechanics of Materials,Experimental,Yes,Elective,40,Lab,PG,Visual,High,Intermediate,Judicial,Not Available
Mechatronics,Analytical,Yes,Core,20,Theoretical,PhD,Reflective,Medium,New,Liberal,Not Available
Mechatronics,Experimental,Yes,Elective,50,Theoretical,PhD,Field-Independent,Low,Experienced,Indirect Teaching,Not Available
Computer-Aided Design (CAD),Design-oriented,No,Elective,10,Lab,PG,Intuitive,Low,New,Liberal,Not Available
Manufacturing Processes,Experimental,Yes,Elective,50,Theoretical,UG,Field-Independent,Low,Intermediate,Delegator,Not Available
Control Systems,Experimental,No,Core,10,Theoretical,UG,Reflective,Low,Intermediate,Discipline-Centered,Not Available
Control Systems,Design-oriented,No,Elective,20,Lab,PhD,Reflective,Low,Intermediate,Formal Authority,Not Available
Machine Design,Experimental,Yes,Core,30,Lab,PhD,Intuitive,High,Intermediate,Delegator,Not Available
Mechatronics,Design-oriented,No,Core,20,Lab,PhD,Visual,High,Experienced,Facilitator,Available
Computer-Aided Design (CAD),Experimental,No,Core,50,Lab,PhD,Visual,High,Intermediate,Peer Teaching,Not Available
Fluid Mechanics,Design-oriented,No,Elective,30,Theoretical,PG,Field-Independent,Low,Intermediate,Executive,Available
Fluid Mechanics,Design-oriented,No,Elective,10,Lab,PhD,Impulsive,Medium,Experienced,Facilitator,Not Available
Fluid Mechanics,Analytical,Yes,Core,10,Lab,PG,Field-Dependent,Medium,New,Peer Teaching,Available
Control Systems,Analytical,No,Core,20,Lab,PhD,Abstract,High,New,Legislative,Available
Machine Design,Design-oriented,Yes,Elective,40,Lab,PhD,Impulsive,Low,New,Local,Not Available
Computer-Aided Design (CAD),Design-oriented,No,Core,20,Lab,PhD,Kinesthetic,Medium,Intermediate,Global,Not Available
Fluid Mechanics,Experimental,Yes,Elective,20,Theoretical,PhD,Visual,Low,New,Student-Centered,Not Available
Control Systems,Experimental,No,Core,10,Theoretical,PG,Sequential,Medium,Intermediate,Conservative,Available
Mechatronics,Analytical,No,Core,50,Lab,PhD,Visual,Low,Intermediate,Indirect Teaching,Not Available
Thermodynamics,Design-oriented,Yes,Core,30,Theoretical,PhD,Field-Dependent,Low,Experienced,Facilitator,Not Available
Computer-Aided Design (CAD),Experimental,Yes,Core,40,Lab,PG,Field-Dependent,Low,Experienced,Formal Authority,Not Available
Thermodynamics,Design-oriented,No,Elective,30,Lab,UG,Visual,High,New,Group Approach,Available
Control Systems,Design-oriented,No,Core,20,Theoretical,UG,Field-Dependent,Medium,Experienced,Formal Authority,Available
Engineering Mechanics,Analytical,Yes,Elective,40,Theoretical,PG,Auditory,High,New,Group Approach,Not Available
Thermodynamics,Experimental,Yes,Core,50,Theoretical,UG,Abstract,High,Experienced,Peer Teaching,Available
Heat Transfer,Experimental,No,Elective,10,Lab,PhD,Tactile,High,Experienced,Liberal,Available
Mechatronics,Experimental,No,Elective,10,Lab,PG,Impulsive,High,New,Local,Available
Machine Design,Design-oriented,No,Core,20,Lab,PG,Field-Dependent,High,Intermediate,Direct Teaching,Not Available
Computer-Aided Design (CAD),Experimental,Yes,Core,40,Theoretical,PG,Active,Low,Experienced,Facilitator,Not Available
Mechatronics,Analytical,Yes,Elective,30,Theoretical,UG,Auditory,Medium,Experienced,Socratic,Available
Engineering Mechanics,Design-oriented,Yes,Elective,40,Lab,UG,Reflective,Low,New,Expert,Not Available
Manufacturing Processes,Analytical,Yes,Elective,40,Lab,PG,Field-Dependent,High,Intermediate,Formal Authority,Available
Manufacturing Processes,Experimental,No,Core,20,Lab,PG,Intuitive,Medium,New,Direct Teaching,Not Available
Heat Transfer,Design-oriented,Yes,Elective,10,Theoretical,PhD,Global,High,Intermediate,Legislative,Available
Mechanics of Materials,Design-oriented,No,Core,40,Lab,PhD,Impulsive,Medium,Intermediate,Group Approach,Available
Manufacturing Processes,Design-oriented,Yes,Elective,40,Theoretical,PG,Auditory,Low,Intermediate,Liberal,Available
Manufacturing Processes,Experimental,No,Core,20,Lab,PhD,Field-Independent,Medium,New,Global,Available
Mechanics of Materials,Analytical,No,Core,40,Theoretical,PhD,Field-Independent,High,Intermediate,Conservative,Available
Heat Transfer,Analytical,No,Core,30,Theoretical,PhD,Reflective,Medium,Intermediate,Discipline-Centered,Available
Mechatronics,Design-oriented,Yes,Core,50,Lab,UG,Active,High,Intermediate,Didactic,Available
Control Systems,Design-oriented,No,Elective,50,Lab,PG,Field-Dependent,Low,Experienced,Legislative,Available
Mechanics of Materials,Analytical,No,Core,30,Lab,PG,Visual,Low,Intermediate,Indirect Teaching,Not Available
Computer-Aided Design (CAD),Design-oriented,Yes,Elective,40,Lab,PG,Active,Medium,Intermediate,Facilitative,Available
Fluid Mechanics,Analytical,No,Elective,10,Theoretical,PG,Intuitive,High,New,Facilitator,Not Available
Mechanics of Materials,Design-oriented,Yes,Core,20,Lab,PhD,Intuitive,Low,Experienced,Global,Available
Mechanics of Materials,Design-oriented,Yes,Core,50,Theoretical,PG,Concrete,High,Experienced,Expert,Available
Control Systems,Analytical,Yes,Core,40,Theoretical,PhD,Field-Independent,Low,New,Legislative,Not Available
Manufacturing Processes,Experimental,No,Elective,50,Theoretical,UG,Sequential,High,New,Judicial,Available
Computer-Aided Design (CAD),Design-oriented,No,Core,10,Lab,UG,Visual,Medium,Intermediate,Problem Solving,Not Available
Thermodynamics,Analytical,Yes,Elective,10,Lab,UG,Reflective,High,Intermediate,Discipline-Centered,Not Available
Computer-Aided Design (CAD),Experimental,Yes,Core,50,Lab,PG,Reflective,Medium,Intermediate,Conservative,Not Available
Control Systems,Design-oriented,Yes,Core,20,Lab,PhD,Impulsive,Medium,Intermediate,Expert,Available
Mechatronics,Experimental,Yes,Core,20,Lab,UG,Reflective,Medium,Experienced,Discipline-Centered,Not Available
Machine Design,Design-oriented,Yes,Elective,30,Theoretical,UG,Active,Medium,Intermediate,Judicial,Available
Heat Transfer,Design-oriented,No,Core,40,Lab,PG,Auditory,Low,Experienced,Formal Authority,Not Available
Mechatronics,Analytical,No,Elective,10,Lab,UG,Global,Medium,Experienced,Global,Available
Mechatronics,Experimental,Yes,Elective,20,Lab,UG,Concrete,Medium,Intermediate,Socratic,Available
Engineering Mechanics,Experimental,No,Core,50,Theoretical,UG,Concrete,Low,Experienced,Legislative,Available
Computer-Aided Design (CAD),Design-oriented,Yes,Elective,20,Lab,PhD,Impulsive,Medium,Intermediate,Socratic,Available
Mechanics of Materials,Design-oriented,No,Elective,40,Lab,PG,Reflective,High,Experienced,Student-Centered,Not Available
Engineering Mechanics,Analytical,Yes,Elective,30,Theoretical,PhD,Kinesthetic,High,New,Legislative,Available
Machine Design,Experimental,Yes,Core,40,Lab,UG,Sequential,Medium,Intermediate,Indirect Teaching,Not Available
Manufacturing Processes,Analytical,Yes,Core,40,Theoretical,PG,Global,Medium,Experienced,Teacher-Centered,Not Available
Engineering Mechanics,Design-oriented,Yes,Core,20,Lab,PG,Field-Dependent,Medium,New,Conservative,Available
Computer-Aided Design (CAD),Design-oriented,Yes,Core,10,Lab,PhD,Reflective,Low,New,Executive,Not Available
Mechanics of Materials,Experimental,Yes,Core,20,Lab,PhD,Active,Medium,Experienced,Socratic,Available
Engineering Mechanics,Experimental,Yes,Core,20,Theoretical,UG,Field-Independent,Low,Intermediate,Teacher-Centered,Available
Computer-Aided Design (CAD),Experimental,Yes,Core,30,Theoretical,PG,Auditory,Medium,Experienced,Local,Not Available
Computer-Aided Design (CAD),Design-oriented,No,Elective,30,Theoretical,PG,Field-Dependent,Low,Intermediate,Global,Available
Machine Design,Design-oriented,No,Elective,50,Theoretical,PG,Concrete,Low,Intermediate,Student-Centered,Not Available
Control Systems,Experimental,No,Core,10,Theoretical,PG,Kinesthetic,High,Intermediate,Judicial,Available
Manufacturing Processes,Analytical,No,Elective,30,Lab,UG,Global,Low,Experienced,Direct Teaching,Not Available
Mechatronics,Analytical,Yes,Core,40,Theoretical,PG,Field-Independent,Medium,Intermediate,Discipline-Centered,Available
Fluid Mechanics,Design-oriented,Yes,Core,10,Theoretical,UG,Intuitive,High,Intermediate,Personal Model,Available
Mechanics of Materials,Experimental,No,Elective,20,Lab,PhD,Sequential,High,Experienced,Group Approach,Available
Machine Design,Design-oriented,No,Elective,40,Lab,UG,Field-Independent,Medium,Intermediate,Global,Not Available
Control Systems,Design-oriented,Yes,Elective,40,Lab,UG,Field-Dependent,Medium,New,Peer Teaching,Available
Machine Design,Analytical,No,Elective,40,Theoretical,PhD,Concrete,High,Intermediate,Personal Model,Not Available
Fluid Mechanics,Analytical,No,Elective,50,Theoretical,PG,Field-Dependent,Medium,Intermediate,Teacher-Centered,Available
Thermodynamics,Experimental,Yes,Elective,50,Theoretical,PG,Auditory,Low,Intermediate,Direct Teaching,Available
Manufacturing Processes,Experimental,Yes,Core,10,Theoretical,PhD,Concrete,Medium,New,Student-Centered,Not Available
Mechanics of Materials,Experimental,Yes,Elective,40,Theoretical,UG,Impulsive,Medium,New,Socratic,Available
Control Systems,Design-oriented,Yes,Elective,50,Theoretical,PhD,Field-Dependent,High,New,Group Approach,Not Available
Computer-Aided Design (CAD),Analytical,Yes,Elective,40,Lab,PG,Tactile,High,New,Global,Not Available
Heat Transfer,Experimental,No,Core,10,Theoretical,PG,Global,High,New,Problem Solving,Not Available
Machine Design,Experimental,Yes,Core,30,Lab,UG,Tactile,Low,Experienced,Indirect Teaching,Available
Computer-Aided Design (CAD),Design-oriented,Yes,Elective,30,Lab,PG,Field-Independent,Medium,Experienced,Group Approach,Not Available
Computer-Aided Design (CAD),Experimental,No,Core,50,Lab,PhD,Global,Medium,New,Facilitative,Not Available
Computer-Aided Design (CAD),Design-oriented,No,Elective,30,Theoretical,UG,Abstract,Medium,New,Teacher-Centered,Not Available
Manufacturing Processes,Analytical,No,Elective,40,Theoretical,PG,Intuitive,Low,New,Legislative,Available
Mechatronics,Analytical,No,Elective,10,Theoretical,PG,Sequential,Low,Intermediate,Formal Authority,Available
Computer-Aided Design (CAD),Experimental,Yes,Core,20,Lab,PhD,Auditory,High,Experienced,Problem Solving,Not Available
Mechatronics,Experimental,Yes,Elective,40,Lab,PhD,Kinesthetic,High,Intermediate,Group Approach,Available
Computer-Aided Design (CAD),Experimental,No,Core,20,Lab,UG,Abstract,High,New,Expert,Available
Manufacturing Processes,Experimental,No,Core,50,Theoretical,UG,Tactile,Low,New,Expert,Not Available
Mechatronics,Design-oriented,Yes,Elective,10,Theoretical,PhD,Sequential,High,Intermediate,Group Approach,Available
Manufacturing Processes,Design-oriented,No,Core,40,Lab,PG,Kinesthetic,Medium,Experienced,Peer Teaching,Not Available
Mechatronics,Design-oriented,No,Elective,10,Lab,PG,Field-Dependent,Medium,Intermediate,Legislative,Available
Thermodynamics,Experimental,Yes,Elective,10,Lab,PhD,Field-Independent,High,Experienced,Didactic,Available
Computer-Aided Design (CAD),Design-oriented,Yes,Core,40,Lab,PhD,Auditory,Medium,New,Direct Teaching,Available
Thermodynamics,Experimental,No,Core,30,Lab,PG,Impulsive,Medium,Intermediate,Legislative,Not Available
Thermodynamics,Design-oriented,Yes,Core,20,Lab,PhD,Kinesthetic,Medium,New,Executive,Available
Thermodynamics,Design-oriented,No,Core,40,Lab,PG,Intuitive,Medium,Experienced,Global,Not Available
Mechatronics,Experimental,No,Core,30,Theoretical,PhD,Reflective,High,Experienced,Delegator,Available
Mechanics of Materials,Analytical,Yes,Core,20,Theoretical,UG,Kinesthetic,Medium,New,Expert,Available
Mechanics of Materials,Analytical,No,Elective,50,Theoretical,PhD,Active,Low,Intermediate,Student-Centered,Available
Mechatronics,Experimental,Yes,Core,50,Lab,PhD,Field-Independent,High,New,Personal Model,Available
Machine Design,Experimental,No,Core,20,Lab,UG,Active,Medium,Experienced,Formal Authority,Available
Fluid Mechanics,Analytical,No,Elective,20,Lab,UG,Field-Dependent,Medium,Intermediate,Judicial,Not Available
Control Systems,Design-oriented,Yes,Elective,50,Theoretical,UG,Global,High,Experienced,Liberal,Available
Heat Transfer,Experimental,No,Core,40,Theoretical,PG,Auditory,High,New,Discipline-Centered,Available
Heat Transfer,Experimental,Yes,Elective,40,Theoretical,PG,Intuitive,Low,Experienced,Facilitative,Available
Machine Design,Experimental,No,Core,30,Lab,PG,Sequential,Medium,Experienced,Facilitative,Not Available
Heat Transfer,Experimental,No,Core,30,Theoretical,PG,Reflective,Low,Intermediate,Conservative,Not Available
Thermodynamics,Design-oriented,No,Core,10,Lab,UG,Concrete,Low,Experienced,Local,Available
Computer-Aided Design (CAD),Analytical,No,Core,20,Theoretical,PG,Field-Dependent,Medium,Experienced,Formal Authority,Available
